           0  -1.286768   0.000  0.000  0.000   5  0 1.000000
        1000  -1.292938   0.202  0.342  0.000   4  0 12.096154
        2000  -1.219253   0.188  0.349  0.000   3  0 241.487013
        3000  -1.029195   0.174  0.354  0.000   1  0 235916.876623
        4000  -0.902736   0.160  0.359  0.000   1  0 235916.876623
        5000  -1.175889   0.150  0.359  0.000   3  0 241.487013
        6000  -1.223094   0.147  0.359  0.000   4  0 12.096154
        7000  -1.381589   0.154  0.356  0.000   5  0 1.000000
        8000  -1.226264   0.157  0.355  0.000   3  0 241.487013
        9000  -1.099250   0.156  0.356  0.000   2  0 6348.961039
       10000  -1.136560   0.156  0.356  0.000   2  0 6348.961039
       11000  -1.147274   0.153  0.357  0.000   1  0 235916.876623
       12000  -0.921216   0.150  0.361  0.000   1  0 235916.876623
       13000  -0.891714   0.148  0.367  0.000   1  0 235916.876623
       14000  -0.893071   0.146  0.371  0.000   1  0 235916.876623
       15000  -0.933816   0.145  0.375  0.000   2  0 6348.961039
       16000  -0.831088   0.145  0.379  0.000   2  0 6348.961039
       17000  -0.978233   0.144  0.380  0.000   2  0 6348.961039
       18000  -1.080811   0.144  0.380  0.000   2  0 6348.961039
       19000  -0.963418   0.142  0.382  0.000   2  0 6348.961039
       20000  -0.977164   0.142  0.383  0.000   3  0 241.487013
       21000  -1.082343   0.142  0.383  0.000   3  0 241.487013
       22000  -1.006557   0.141  0.384  0.000   2  0 6348.961039
