#t = 1000; extr. Ts: 0.10005 0.10105 0.10205 0.10305 0.10505 0.10605 0.10705 0.10805 0.10905 0.11005 0.11105 0.11205 0.11305 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0 136 42.7429 870.325 90.1146 9.75926 1.10402 0.0160229 0.00205075 0.00027287 3.77047e-05 5.40485e-06 8.02937e-07 1.235e-07 1.9649e-08 3.23075e-09 
7 0 7687 6764.56 178245 15191.5 1364.68 129.013 1.33605 0.145947 0.0166845 0.00199356 0.000248663 3.23404e-05 4.38063e-06 6.17317e-07 9.04055e-08 
8 0 12157 12157 372309 28328.7 2281.01 194.088 1.64926 0.164267 0.0171973 0.00188993 0.00021774 2.62641e-05 3.31245e-06 4.36238e-07 5.9912e-08 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#t = 2000; extr. Ts: 0.10005 0.10105 0.10205 0.10305 0.10505 0.10605 0.10705 0.10805 0.10905 0.11005 0.11105 0.11205 0.11305 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
